Severity,CVSS,Issue,Ports,OID,CVE,Affected Devices,Number of Device(s),Last Detected,Known Exploited Vulnerability,Summary,Vulnerability Detection Result,Impact,Solution,Vulnerability Insight,Vulnerability Detection Method,References,Known To Be Used In Ransomware Campaigns,ingestion_error_reason
Critical,10,Operating System (OS) End of Life (EOL) Detection,0/NA,1.3.6.1.4.1.25623.1.0.103674,,usx01vspftp02.rpi.reliableparts.com (172.16.11.137 / 00:50:56:BB:97:35),1,27-Mar-2026,No,The Operating System (OS) on the remote host has reached the end   of life (EOL) and should not be used anymore.,"The """"Windows Server 2012 / Windows Server 2012 R2"""" Operating System on the remote host has reached the end of life. CPE:               cpe:/o:microsoft:windows_server_2012 EOL date:          2023-10-10 EOL info:          https://learn.microsoft.com/en-us/lifecycle/products/windows-server-2012 / https://learn.microsoft.com/en-us/lifecycle/products/windows-server-2012-r2",An EOL version of an OS is not receiving any security updates   from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise   the security of this host.,"Update the OS on the remote host to a version which is still   supported and receiving security updates by the vendor.   Note / Important: Please create an override for this result if the target host is a:   - Windows system with Extended Security Updates (ESU)   - System with additional 3rd-party / non-vendor security updates like e.g. from 'TuxCare',   'Freexian Extended LTS' or similar",,"Checks if an EOL version of an OS is present on the target   host. Details: Operating System (OS) End of Life (EOL) Detection (OID: 1.3.6.1.4.1.25623.1.0.103674) Version used: 2025-05-21T05:40:19Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""27-Mar-2026"" using failure mode FAIL_ROW: Text '27-Mar-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
Critical,9.9,jQuery End of Life (EOL) Detection - Linux,443/tcp (https),1.3.6.1.4.1.25623.1.0.117149,,"172.16.11.98 (00:60:16:89:76:2C),test.rpi.reliableparts.com (172.16.11.97 / 00:60:16:8B:10:4C)",2,17-Apr-2026,No,The jQuery version on the remote host has reached the end of   life (EOL) and should not be used anymore.,"The """"jQuery"""" version on the remote host has reached the end of life. CPE:               cpe:/a:jquery:jquery:1.8.0 Installed version: 1.8.0 Location/URL:      /api/doc/lib/jquery-1.8.0.min.js EOL version:       1 EOL date:          unknown Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info): - Identified file: https://172.16.11.98/api/doc/lib/jquery-1.8.0.min.js - Referenced at:   https://172.16.11.98/api/doc/ --- The """"jQuery"""" version on the remote host has reached the end of life. CPE:               cpe:/a:jquery:jquery:1.8.0 Installed version: 1.8.0 Location/URL:      /api/doc/lib/jquery-1.8.0.min.js EOL version:       1 EOL date:          unknown Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info): - Identified file: https://test.rpi.reliableparts.com/api/doc/lib/jquery-1.8.0.min.js - Referenced at:   https://test.rpi.reliableparts.com/api/doc/",An EOL version of jQuery is not receiving any security updates   from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise   the security of this host.,Update jQuery on the remote host to a still supported version.,,"Checks if an EOL version is present on the target host. Details: jQuery End of Life (EOL) Detection - Linux (OID: 1.3.6.1.4.1.25623.1.0.117149) Version used: 2025-04-15T05:54:49Z ",https://github.com/jquery/jquery.com/pull/163,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
Critical,9.8,OpenBSD OpenSSH < 9.3p2 RCE Vulnerability,22/tcp (ssh),1.3.6.1.4.1.25623.1.0.104869,,"172.16.11.98 (00:60:16:89:76:2C),test.rpi.reliableparts.com (172.16.11.97 / 00:60:16:8B:10:4C),172.16.11.151 (00:50:56:AD:94:F0),172.16.11.157 (00:50:56:AD:01:68),172.16.11.167 (00:50:56:BB:C4:54),172.16.11.155 (00:50:56:AD:DF:A4),172.16.11.171 (00:50:56:BB:94:FE),172.16.11.156 (00:50:56:AD:36:01),172.16.11.170 (00:50:56:BB:2B:16),usx01vspredirect01.rpi.reliableparts.com (172.16.11.95 / 00:50:56:BB:6D:A7),172.16.11.153 (00:50:56:BB:8D:91),172.16.11.154 (00:50:56:AD:01:A6)",12,17-Apr-2026,No,OpenBSD OpenSSH is prone to a remote code execution (RCE)   vulnerability in OpenSSH's forwarded ssh-agent.,Installed version: 8.8 Fixed version:     9.3p2 Installation path / port:       22/tcp --- Installed version: 8.1 Fixed version:     9.3p2 Installation path / port:       22/tcp --- Installed version: 8.7 Fixed version:     9.3p2 Installation path / port:       22/tcp,,Update to version 9.3p2 or later.,A condition where specific libraries loaded via ssh-agent(1)'s   PKCS#11 support could be abused to achieve remote code execution via a forwarded agent socket.,"Checks if a vulnerable version is present on the target host. Details: OpenBSD OpenSSH < 9.3p2 RCE Vulnerability (OID: 1.3.6.1.4.1.25623.1.0.104869) Version used: 2023-10-13T05:06:10Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
Critical,9.8,Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Linux,80/tcp (http),1.3.6.1.4.1.25623.1.0.114682,,172.16.11.13 (00:50:56:BB:67:04),1,17-Apr-2026,No,Apache HTTP Server is prone to multiple vulnerabilities.,Installed version: 2.4.52 Fixed version:     2.4.60 Installation path / port:       80/tcp,,Update to version 2.4.60 or later.,The following flaws exist:   - CVE-2024-36387: Denial of Service (DoS) by Null pointer in websocket over HTTP/2   - CVE-2024-38473: Proxy encoding problem   - CVE-2024-38474: Weakness with encoded question marks in backreferences   - CVE-2024-38475: Weakness in mod_rewrite when first segment of substitution matches filesystem   path   - CVE-2024-38476: May use exploitable/malicious backend application output to run local handlers   via internal redirect   - CVE-2024-38477: Crash resulting in DoS in mod_proxy via a malicious request   - CVE-2024-39573: mod_rewrite proxy handler substitution,"Checks if a vulnerable version is present on the target host. Details: Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Linux (OID: 1.3.6.1.4.1.25623.1.0.114682) Version used: 2025-08-07T05:44:51Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
Critical,9.8,Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Windows,"80/tcp (http),443/tcp (https)",1.3.6.1.4.1.25623.1.0.114683,,"172.16.11.64 (00:50:56:BB:33:E4),usx01vspapch04.rpi.reliableparts.com (172.16.11.136 / 00:50:56:BB:06:62),usx01vsdrpl01.rpi.reliableparts.com (172.16.11.54 / 00:0C:29:BB:22:63),172.16.11.105 (00:50:56:BB:F1:3E),usx01vspapch03.rpi.reliableparts.com (172.16.11.105 / 00:50:56:BB:F1:3E)",5,17-Apr-2026,No,Apache HTTP Server is prone to multiple vulnerabilities.,Installed version: 2.4.57 Fixed version:     2.4.60 Installation path / port:       80/tcp --- Installed version: 2.4.57 Fixed version:     2.4.60 Installation path / port:       443/tcp,,Update to version 2.4.60 or later.,The following flaws exist:   - CVE-2024-36387: Denial of Service (DoS) by Null pointer in websocket over HTTP/2   - CVE-2024-38472: Windows UNC Server-Side Request Forgery (SSRF)   - CVE-2024-38473: Proxy encoding problem   - CVE-2024-38474: Weakness with encoded question marks in backreferences   - CVE-2024-38475: Weakness in mod_rewrite when first segment of substitution matches filesystem   path   - CVE-2024-38476: May use exploitable/malicious backend application output to run local handlers   via internal redirect   - CVE-2024-38477: Crash resulting in DoS in mod_proxy via a malicious request   - CVE-2024-39573: mod_rewrite proxy handler substitution,"Checks if a vulnerable version is present on the target host. Details: Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Windows (OID: 1.3.6.1.4.1.25623.1.0.114683) Version used: 2025-08-07T05:44:51Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
Critical,9.8,"Oracle MySQL Server <= 5.7.43, 8.x <= 8.0.34, 8.1.0 Security Update (cpuoct2023) - Windows",3306/tcp (mysql),1.3.6.1.4.1.25623.1.0.151218,,usx01vsdb2bpoc1.rpi.reliableparts.com (172.16.11.147 / 00:50:56:BB:A4:0B),1,17-Apr-2026,No,Oracle MySQL Server is prone to multiple vulnerabilities.,Installed version: 8.0.34 Fixed version:     8.0.35 Installation path / port:       3306/tcp,,"Update to version 5.7.44, 8.0.35, 8.1.1 or later.",,"Checks if a vulnerable version is present on the target host. Details: Oracle MySQL Server <= 5.7.43, 8.x <= 8.0.34, 8.1.0 Security Update (cpuoct2... (OID: 1.3.6.1.4.1.25623.1.0.151218) Version used: 2025-09-09T05:38:49Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
Critical,9.8,Apache Tomcat RCE Vulnerability (Mar 2025) - Windows,8080/tcp (http-alt),1.3.6.1.4.1.25623.1.0.154161,,"usx01vsptomct04.rpi.reliableparts.com (172.16.11.141 / 00:50:56:BB:51:A3),usx01vsptomct06.rpi.reliableparts.com (172.16.11.139 / 00:50:56:BB:1C:D8),usx01vspwf01.rpi.reliableparts.com (172.16.11.121 / 00:50:56:BB:49:EE),usx01vsdrpl01.rpi.reliableparts.com (172.16.11.54 / 00:0C:29:BB:22:63),usx01vsptomct05.rpi.reliableparts.com (172.16.11.144 / 00:50:56:BB:F5:48),usx01vspwfrpt01.rpi.reliableparts.com (172.16.11.27 / 00:50:56:BB:3C:CC)",6,17-Apr-2026,No,Apache Tomcat is prone to a remote code execution (RCE)   vulnerability.,Installed version: 9.0.98 Fixed version:     9.0.99 Installation path / port:       8080/tcp --- Installed version: 9.0.48 Fixed version:     9.0.99 Installation path / port:       8080/tcp --- Installed version: 9.0.78 Fixed version:     9.0.99 Installation path / port:       8080/tcp,,"Update to version 9.0.99, 10.1.35, 11.0.3 or later.","The original implementation of partial PUT used a temporary   file based on the user provided file name and path with the path separator replaced by '.'.   If all of the following are true, a malicious user is able to view security sensitive files   and/or inject content into those files:   - writes enabled for the default servlet (disabled by default)   - support for partial PUT (enabled by default)   - a target URL for security sensitive uploads that is a sub-directory of a target URL for public   uploads   - attacker knowledge of the names of security sensitive files being uploaded   - the security sensitive files also being uploaded via partial PUT   If all of the following are true, a malicious user is able to perform remote code execution:   - writes enabled for the default servlet (disabled by default)   - support for partial PUT (enabled by default)   - application is using Tomcat's file based session persistence with the default storage location   - application includes a library that may be leveraged in a deserialization attack","Checks if a vulnerable version is present on the target host. Details: Apache Tomcat RCE Vulnerability (Mar 2025) - Windows (OID: 1.3.6.1.4.1.25623.1.0.154161) Version used: 2025-04-11T15:45:04Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
Critical,9.8,Apache Tomcat Rewrite Rule Bypass Vulnerability (Apr 2025) - Windows,8080/tcp (http-alt),1.3.6.1.4.1.25623.1.0.154400,,"usx01vsptomct04.rpi.reliableparts.com (172.16.11.141 / 00:50:56:BB:51:A3),usx01vsptomct06.rpi.reliableparts.com (172.16.11.139 / 00:50:56:BB:1C:D8),usx01vspwf01.rpi.reliableparts.com (172.16.11.121 / 00:50:56:BB:49:EE),usx01vsdrpl01.rpi.reliableparts.com (172.16.11.54 / 00:0C:29:BB:22:63),usx01vsptomct05.rpi.reliableparts.com (172.16.11.144 / 00:50:56:BB:F5:48),usx01vspwfrpt01.rpi.reliableparts.com (172.16.11.27 / 00:50:56:BB:3C:CC)",6,17-Apr-2026,No,Apache Tomcat is prone to a rewrite rule bypass   vulnerability.,Installed version: 9.0.98 Fixed version:     9.0.104 Installation path / port:       8080/tcp --- Installed version: 9.0.48 Fixed version:     9.0.104 Installation path / port:       8080/tcp --- Installed version: 9.0.78 Fixed version:     9.0.104 Installation path / port:       8080/tcp,,"Update to version 9.0.104, 10.1.40, 11.0.6 or later.","For a subset of unlikely rewrite rule configurations, it is   possible for a specially crafted request to bypass some rewrite rules. If those rewrite rules   effectively enforced security constraints, those constraints could be bypassed.","Checks if a vulnerable version is present on the target host. Details: Apache Tomcat Rewrite Rule Bypass Vulnerability (Apr 2025) - Windows (OID: 1.3.6.1.4.1.25623.1.0.154400) Version used: 2025-05-06T05:40:10Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
Critical,9.8,Synology DiskStation Manager (DSM) RCE Vulnerability (Synology-SA-24:20) - Unreliable Remote Version Check,0/NA,1.3.6.1.4.1.25623.1.0.170911,,NAS (172.16.11.99 / 90:09:D0:49:EC:69),1,17-Apr-2026,No,Synology DiskStation Manager (DSM) is prone to a remote code   execution (RCE) vulnerability.,Installed version: 7.2.1-69057 Fixed version:     7.2.1-69057-6,,"Update to version 7.2-64570-4, 7.2.1-69057-6, 7.2.2-72806-1   or later.",Improper encoding or escaping of output vulnerability in the   system plugin daemon allows remote attackers to execute arbitrary code via unspecified   vectors.,"Checks if a vulnerable version is present on the target host. Details: Synology DiskStation Manager (DSM) RCE Vulnerability (Synology-SA-24:20) - U... (OID: 1.3.6.1.4.1.25623.1.0.170911) Version used: 2025-12-03T05:40:19Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
Critical,9.7,Python Multiple Vulnerabilities (Jun 2025) - Windows,5050/tcp (mmcc),1.3.6.1.4.1.25623.1.0.154643,,usx01vspflyn01.rpi.reliableparts.com (172.16.11.101 / 00:50:56:BB:BA:64),1,17-Apr-2026,No,Python is prone to multiple vulnerabilities.,Installed version: 3.12.9 Fixed version:     3.12.11 Installation path / port:       5050/tcp,,"Update to version 3.9.23, 3.10.18, 3.11.13, 3.12.11, 3.13.4 or   later.","The following flaws exist:   - CVE-2024-12718: Allows modifying some file metadata (e.g. last modified) with filter='data' or   file permissions (chmod) with filter='tar' of files outside the extraction directory.   - CVE-2025-4138: Allows creating arbitrary symlinks outside the extraction directory during   extraction with filter='data'.   - CVE-2025-4330: Allows the extraction filter to be ignored, allowing symlink targets to point   outside the destination directory, and the modification of some file metadata.   - CVE-2025-4435: Filtered members not skipped with TarFile.errorlevel = 0   - CVE-2025-4517: Allows arbitrary filesystem writes outside the extraction directory during   extraction with filter='data'.","Checks if a vulnerable version is present on the target host. Details: Python Multiple Vulnerabilities (Jun 2025) - Windows (OID: 1.3.6.1.4.1.25623.1.0.154643) Version used: 2025-10-10T05:39:02Z ",,Unknown,"last_detected_at from Last Detected failed: conversion TO_DATE failed for value ""17-Apr-2026"" using failure mode FAIL_ROW: Text '17-Apr-2026T00:00:00+00:00' could not be parsed at index 0; known_ransomware_campaign from Known To Be Used In Ransomware Campaigns failed: conversion TO_BOOLEAN failed for value ""Unknown"" using failure mode FAIL_ROW: Value is not boolean; "
